CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,23.110151187904968,23.110151187904968,24.190064794816415,23.758099352051836,27.213822894168466,24.622030237580994,23.974082073434126,25.48596112311015,26.565874730021598,28.509719222462206,38.44492440604751,16.414686825053995
2011-01,100.0,15.957446808510639,25.177304964539005,17.73049645390071,23.04964539007092,21.98581560283688,20.212765957446805,19.858156028368796,22.340425531914892,28.01418439716312,31.20567375886525,9.929078014184398,
2011-02,100.0,13.135593220338984,12.288135593220339,21.1864406779661,17.796610169491526,15.254237288135593,18.64406779661017,18.220338983050848,17.372881355932204,22.033898305084744,3.8135593220338984,,
2011-03,100.0,10.333333333333334,17.333333333333336,17.666666666666668,20.0,15.666666666666668,21.0,20.0,20.333333333333332,8.0,,,
2011-04,100.0,15.5,14.499999999999998,13.5,13.0,19.0,18.0,17.5,9.0,,,,
2011-05,100.0,13.761467889908257,11.926605504587156,13.761467889908257,15.59633027522936,18.807339449541285,17.889908256880734,5.963302752293578,,,,,
2011-06,100.0,11.702127659574469,13.829787234042554,17.02127659574468,19.148936170212767,24.46808510638298,6.914893617021277,,,,,,
2011-07,100.0,7.643312101910828,12.738853503184714,16.560509554140125,15.286624203821656,7.006369426751593,,,,,,,
2011-08,100.0,13.114754098360656,15.573770491803279,19.672131147540984,8.19672131147541,,,,,,,,
2011-09,100.0,15.503875968992247,22.093023255813954,8.914728682170542,,,,,,,,,
2011-10,100.0,18.947368421052634,7.719298245614035,,,,,,,,,,
2011-11,100.0,4.545454545454546,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
